dataset,method,estimated_ate,true_ate,bias,absolute_bias,relative_error_pct,run,confounding_strength
semi_synthetic,DML,0.0995182695434976,0.0365582212857121,0.0629600482577854,0.0629600482577854,172.21857640648315,0,1.0
semi_synthetic,Causal Forest,0.0961072056681773,0.0365582212857121,0.0595489843824651,0.0595489843824651,162.88807903719956,0,1.0
semi_synthetic,Naive,0.110481517457224,0.0364213950596988,0.0740601223975251,0.0740601223975251,203.34235488819704,1,1.0
semi_synthetic,OLS,0.0931915325660728,0.0364213950596988,0.056770137506374,0.056770137506374,155.87029934828465,1,1.0
semi_synthetic,IPW,0.0928827191254201,0.0364213950596988,0.0564613240657212,0.0564613240657212,155.0224091448847,1,1.0
semi_synthetic,DML,0.0994832740909903,0.0364213950596988,0.0630618790312914,0.0630618790312914,173.14514978881434,1,1.0
semi_synthetic,Causal Forest,0.0987925931213343,0.0364213950596988,0.0623711980616354,0.0623711980616354,171.24878923336644,1,1.0
semi_synthetic,Naive,0.1084998468187685,0.0365288404190107,0.0719710063997578,0.0719710063997578,197.02516032318923,2,1.0
semi_synthetic,OLS,0.0885547666264634,0.0365288404190107,0.0520259262074527,0.0520259262074527,142.42424782905746,2,1.0
semi_synthetic,IPW,0.0882761113752515,0.0365288404190107,0.0517472709562408,0.0517472709562408,141.66141153856594,2,1.0
semi_synthetic,DML,0.0966546564224921,0.0365288404190107,0.0601258160034813,0.0601258160034813,164.59820600324906,2,1.0
semi_synthetic,Causal Forest,0.0938147125734895,0.0365288404190107,0.0572858721544788,0.0572858721544788,156.8236809528329,2,1.0
semi_synthetic,Naive,0.1179967700416785,0.0363147393165001,0.0816820307251784,0.0816820307251784,224.92803820862068,3,1.0
semi_synthetic,OLS,0.0902657451144656,0.0363147393165001,0.0539510057979655,0.0539510057979655,148.5650367134869,3,1.0
semi_synthetic,IPW,0.0913774758042146,0.0363147393165001,0.0550627364877145,0.0550627364877145,151.62641264698803,3,1.0
